country,year,prop_emnes,prop_emnes_excl_nat_res,prop_emnes_excl_former_col_power,zero_mnes,zero_mnes_excl_nat_res,zero_mnes_excl_former_col_power,geographic_proximity,colonial_link,c1_voice_and_acc,c2_pol_stability,c3_gov_effectiveness,c4_reg_quality,c5_rule_of_law,c6_control_of_corruption,gni_per_capita,perc_roads_paved,fixed_lines_per_1000,mobile_hones_per_1000,total_phones_per_1000
somalia,2001,,,,True,True,True,0,0,-1.37,-1.12,-2.58,-2.36,-1.71,-1.63,,11.8,10.0,3.0,13
sudan,1999,0.0,0.0,0.0,False,False,False,0,0,-1.71,-2.03,-1.75,-1.14,-1.31,-0.75,370.0,36.3,21.0,6.0,27
sudan,2001,0.2,0.2,0.25,False,False,False,0,1,-1.75,-2.38,-1.34,-0.76,-1.13,-1.13,370.0,36.3,21.0,6.0,27
tanzania,1999,0.2903225806451613,0.2857142857142857,0.391304347826087,False,False,False,1,1,-0.4,0.55,-0.4,0.21,-0.28,-0.95,290.0,4.2,5.0,19.0,24
tanzania,2001,0.2894736842105263,0.2777777777777778,0.3928571428571428,False,False,False,1,1,-0.15,-0.33,-0.32,0.06,-0.23,-1.01,290.0,4.2,5.0,19.0,24
togo,1999,0.2,0.2,0.5,False,False,False,0,1,-1.14,-0.89,-0.44,-0.64,-0.83,-0.45,270.0,31.6,10.0,35.0,45
togo,2001,0.125,0.1428571428571428,0.3333333333333333,False,False,False,0,1,-1.09,-0.63,-1.48,-0.59,-0.79,-0.66,270.0,31.6,10.0,35.0,45
tuvalu,1999,,,,True,True,True,0,0,1.44,,,,,,,,,,0
tuvalu,2001,,,,True,True,True,0,0,1.39,,,,,,,,,,0
uganda,1999,0.4705882352941176,0.5,0.5925925925925926,False,False,False,1,1,-0.61,-0.92,-0.06,0.42,-0.11,-0.62,240.0,6.7,2.0,16.0,18
uganda,2001,0.4210526315789473,0.4285714285714285,0.5161290322580645,False,False,False,1,1,-0.94,-1.35,-0.15,0.18,-0.63,-0.9,240.0,6.7,2.0,16.0,18
vanuatu,1999,0.1666666666666666,0.1818181818181818,0.2857142857142857,False,False,False,0,1,0.63,,-0.44,-0.31,-0.65,-0.29,1070.0,,,,0
vanuatu,2001,0.125,0.1428571428571428,0.2142857142857142,False,False,False,0,1,0.62,,-0.47,-0.26,-0.31,-0.22,1070.0,,,,0
yemen,1999,0.0,0.0,0.0,False,False,False,0,0,-0.6,-1.53,-0.41,-0.39,-0.68,-0.57,490.0,11.5,28.0,21.0,49
yemen,2001,0.0,0.0,0.0,False,False,False,0,1,-0.72,-1.19,-0.65,-0.42,-0.89,-0.7,490.0,11.5,28.0,21.0,49
zambia,1999,0.0384615384615384,0.0434782608695652,0.0909090909090909,False,False,False,0,1,-0.11,-0.04,-0.39,0.32,-0.34,-0.56,340.0,22.0,8.0,13.0,21
zambia,2001,0.088235294117647,0.09375,0.1666666666666666,False,False,False,0,1,-0.24,-0.48,-0.79,0.43,-0.47,-0.85,340.0,22.0,8.0,13.0,21
